Job Profile,Job Description,Company Name,Company Link,Job Link,Easy Apply
Graduate Software Engineer,"About the job
At Bending Spoons, we’re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards.

To achieve this objective, we execute the following strategy: We acquire a digital business with untapped potential and make it as successful as we can by leveraging our platform—which comprises our expertise, technologies, data, brand, talents, and company culture. Then, we invest the proceeds into making our platform more powerful, and into acquiring new businesses. Thus, our strategy sees us combine an investor’s attention to capital allocation with the hands-on approach of an operator.

For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That’s our promise to such a candidate.

A few examples of your responsibilities
Master your toolkit. By working across diverse tech stacks, you’ll refine your ability to choose the right tools for every challenge. From monolithic to microservices architectures, gRPC to REST APIs, Kubernetes to Docker, Python to Rust—you’ll show that true expertise isn’t about using the trendiest technologies, but about understanding their purpose to unleash their full potential.
Build stuff that matters. Regardless of your seniority, you’ll enjoy plenty of autonomy and take full ownership of your work, from ideation to execution. You’ll have the unique opportunity to build software from the ground up and witness firsthand how your code evolves into a product used at scale.
Simplify relentlessly. Is every component essential? Do we need this process? As a Bending Spoons engineer, your mission is to turn complexity into simplicity. Whether optimizing CI/CD pipelines, writing maintainable code, or crafting minimalist architectures, your drive to simplify will power scalable, future-proof solutions.

What we look for
Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter.
Drive. You’re extremely ambitious in everything you do—and your initiative, effort, and tenacity match the intensity of your ambition. You feel deeply responsible for your work. You hold yourself to a high—and rising—bar.
Team spirit. You give generously and without the expectation of receiving in return. You support the best idea, not your idea. You're always happy to get your hands dirty to help your team. You’re reliable, honest, and transparent.
Proficiency in English. You read, write, and speak proficiently in English.

What we offer
Incredibly talented, entrepreneurial teams. You’ll work in small, result-oriented, autonomous teams alongside some of the brightest people in your field.
An exceptional opportunity for growth. We go to great lengths to hire individuals of outstanding potential—then, our priority is to put them in the ideal position to thrive. Spooners in their 20s lead products worth hundreds of millions of dollars. And if you’ve got what it takes, you’ll soon be playing an essential role in major projects, too.
Competitive pay and access to equity in the company. Typically, we offer an individual at the start of their career a salary of £66,779 in the UK and €63,965 elsewhere. If they possess a few years of relevant experience, the salary on offer tends to be between £110,389 and £149,636 in the UK, and €105,737 and €143,330 elsewhere. Pay grows rapidly as you accumulate experience and translate it into greater impact. You can also receive some of your pay in company equity at a discounted price, thus participating in the value creation we achieve together. If relocating to Italy, you may enjoy a 50% tax cut.
All. These. Benefits. Flexible hours, remote working, unlimited backing for learning and training, top-of-the-market health insurance, a rich relocation package, generous parental support, and a yearly retreat to a stunning location. We help each Spooner set up the conditions to do their best work.

Commitment & contract
Permanent or fixed-term. Full-time.

Location
Milan (Italy), London (UK) or remote.

Before you apply
Bending Spoons is a demanding environment: We're extremely ambitious and we ask a lot of ourselves and one another. While this tends to lead to fantastic learning, achievements, and career growth, it also requires a significant commitment. So if you like the role and are ready to give your very best, don't hesitate to apply.

The selection process
If you pass our screening, we’ll ask you to take on a few tests that assess how you approach unfamiliar problems. If you’re successful with those, we’ll invite you to a series of interviews.

Bending Spoons is an equal opportunity and affirmative action employer. We consider for employment any applicant and we provide reasonable accommodations for an applicant with disabilities, which can be requested through this form.

Studies suggest that women tend not to apply for a job if their CV isn’t a perfect fit. Here, talent takes precedence over experience. So if you like the role and think you could be awesome at it in time, go ahead and apply.

Desired Skills and Experience
Algorithms, Attention to Detail, Code Refactoring, Computer Science, Debugging, Optimization, Problem Solving, Reasoning Skills, Software Development, Software Engineers",Bending Spoons,https://www.linkedin.com/company/bendingspoons/life,https://www.linkedin.com/jobs/view/4254413517/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=0UTef0meIbnRiFKeq729Kw%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
Software Engineer,"About the job

About AutoBom.ai

AutoBom.ai is an AI-powered SaaS platform helping hardware and manufacturing companies optimize their supply chains by automating BOM (Bill of Materials) management and supplier communication.

Job Description

We are looking for a passionate and self-motivated Software Engineer to join our growing team. This is an entry-level role ideal for someone who is eager to learn, contribute to real-world projects, and grow within a fast-paced startup environment.



Minimum Requirements:

Basic knowledge of programming in JavaScript, Python, or any modern language.
Familiarity with web development concepts (HTML, CSS, basic JS/React is a plus).
Understanding of APIs and how web applications work.
Eagerness to learn and work on real product features.
Ability to work independently and take ownership of tasks.
Good problem-solving skills and willingness to ask questions.
Bachelor’s degree (or final-year student) in Computer Science, Engineering, or related field.


Nice to Have (Optional):

Exposure to Git, GitHub, or version control basics.
Experience with personal, freelance, or internship projects.
Understanding of databases (SQL or NoSQL).
Interest in AI tools, automation, or SaaS platforms.


What You’ll Do:

Assist in developing and maintaining platform features.
Work closely with the engineering team on coding tasks and debugging.
Learn new tools and frameworks used in our stack.
Participate in team standups, code reviews, and product discussions.",AutoBOM,https://www.linkedin.com/company/autobom/life,https://www.linkedin.com/jobs/view/4246268854/?eBP=CwEAAAGXmX7RScOri3uoL29W1nsyHepsksmG8TS8HWIPNaJSv3Zd6g38j_0BSq9EVMfeHdOZQOJSML0CAoNC9Vg0tgqrGrfWHJiS72lh-3_gvu_mWjEnxUupj8XkWnsJnG-SCcmHclk_olYENTBxt05URR-2J6Z1KcrrJFDg9ycFzAWmCrNaKKEOD1kai9CRabvJBOz6iGR0SjCfY7rmFFmLqLwtp554GVCOjAF4i8p6WeJlO4ruh6iIZQlqIySo6jpGa8kmDBM9OLButQ2rIO62OM3RBkNQYTBdXO27IbwL_dluHiNBa5fIW_wA6SikHBHR27Q3Dq0K11FWfzitYkWq2MmBW6S3xNb-mLEv_jkgP9AVbs41hMYFzG_3gPnxeE390l51afUOpcg34NSJddLIkYTRVrw2wnTwVr32ET75kkaHlgqsIeZ9Bkj8PqwcAOTr4_cstwPM2USBGwI1sEqZwbLckMGJ2hLgNULTscYh8ym_H86OoRLy&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=3EK92C1ydY5BdcFMukFg6w%3D%3D&trk=flagship3_jobs_discovery_jymbii,Yes
"Associate Analyst, R Programmer-1-R-250448","About the job
Our Purpose

Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest potential.

Title And Summary

Associate Analyst, R Programmer-1

Overview

 The Mastercard Economics Institute (MEI) is an economics lab powering scale at Mastercard by owning economic thought leadership in support of Mastercard’s efforts to build a more inclusive and sustainable digital economy
 The Economics Institute was launched in 2020 to analyze economic trends through the lens of the consumer to deliver tailored and actionable insights on economic issues for customers, partners and policymakers
 The Institute is composed of a team of economists and data scientists that utilize & synthesize the anonymized and aggregated data from the Mastercard network together with public data to bring powerful insights to life, in the form of 1:1 presentation, global thought leadership, media participation, and commercial work through the company’s product suites


About The Role

We are looking for an R programmer to join Mastercard’s Economics Institute, reporting to the team lead for Economics Technology. An individual who will:

 create clear, compelling data visualisations that communicate economic insights to diverse audiences
 develop reusable R functions and packages to support analysis and automation
 create and format analytical content using R Markdown and/or Quarto
 design and build scalable Shiny apps
 develop interactive visualisations using JavaScript charting libraries (e.g. Plotly, Highcharts, D3.js) or front-end frameworks (e.g. React, Angular, Vue.js)work with databases and data platforms (eg. SQL, Hadoop)
 write clear, well-documented code that others can understand and maintain
 collaborate using Git for version control


All About You

 proficient in R and the RStudio IDE
 proficient in R packages like dplyr for data cleaning, transformation, and aggregation
 familiarity with dependency management and documentation in R (e.g. roxygen2)
 familiar with version control concepts and tools (e.g. Git, GitHub, Bitbucket) for collaborative development
 experience writing SQL and working with relational databases
 creative and passionate about data, coding, and technology
 strong collaborator who can also work independently organized and able to prioritise work across multiple projects comfortable working with engineers, product owners, data scientists, economists


Corporate Security Responsibility

 All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:

Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.


R-250448",Mastercard,https://www.linkedin.com/company/mastercard/life,https://www.linkedin.com/jobs/view/4245432887/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=Gba3uTtITMQvtawv3%2FwVBg%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
"Software Dev Engineer I, Amazon University Talent Acquisition","About the job
Description

At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. The focus we have on our customers is why we are one of the world’s most beloved brands – customer obsession is part of our company DNA. Our Software Development Engineers (SDEs) use cutting-edge technology to solve complex problems and get to see the impact of their work first-hand. The challenges SDEs solve for at Amazon are big and influence millions of customers, sellers, and products around the world. We are looking for individuals who are passionate about creating new products, features, and services from scratch while managing ambiguity and the pace of a company where development cycles are measured in weeks, not years. If this sounds interesting to you, apply and come chart your own path at Amazon.

Applications are reviewed on a rolling basis. For an update on your status, or to confirm your application was submitted successfully, please login to your candidate portal. NOTE: Amazon works with a high volume of applicants, so we appreciate your patience as we review applications

Key job responsibilities

 Collaborate with experienced cross-disciplinary Amazonians to conceive, design, and bring innovative products and services to market.
 Design and build innovative technologies in a large distributed computing environment and help lead fundamental changes in the industry.
 Create solutions to run predictions on distributed systems with exposure to innovative technologies at incredible scale and speed.
 Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use.
 Design and code the right solutions starting with broadly defined problems.
 Work in an agile environment to deliver high-quality software.

Basic Qualifications

 Bachelor's degree or above in computer science, computer engineering, or related field

Preferred Qualifications

 Bachelor's degree or equivalent

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.


Company - ADCI - Karnataka

Job ID: A3001886",Amazon,https://www.linkedin.com/company/amazon/life,https://www.linkedin.com/jobs/view/4243312535/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=Sm3HuIQAMsZVExOWz8AHpw%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
Junior Software Engineer,"About the job
Role Description
The Junior Software Engineer will be responsible for back-end web development, software development, programming, and object-oriented programming (OOP) tasks.

Qualifications
Computer Science and Programming skills
Back-End Web Development and Software Development skills
Experience in Object-Oriented Programming (OOP)
Strong problem-solving and analytical skills
Ability to work independently and remotely
Bachelor's degree in Computer Science or related field",Graphique Official,https://www.linkedin.com/company/graphique-official/life,https://www.linkedin.com/jobs/view/4252621059/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=7Eg3TxV3ry4jkB4XZraKCw%3D%3D&trk=flagship3_jobs_discovery_jymbii,Yes
Python Fullstack Engineer - Remote Work,"About the job
At BairesDev®, we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.

Our diverse 4,000+ team, composed of the world's Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.

When you apply for this position, you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.

Python Fullstack Engineer at BairesDev

We are seeking a Python Developer to join our growing team. This role offers the opportunity to work on various aspects of application development using Python and web technologies. Whether you're passionate about backend systems, frontend interfaces, or both, you'll find meaningful projects that match your skills and interests.

What You'll Do:

- Develop applications using Python and related frameworks.
- Develop data processing solutions leveraging the Pandas library.
- Work with data processing and analysis tools.
- Contribute to user interface development using web technologies.
- Assist with database operations and cloud integrations.
- Collaborate with team members to deliver quality software. solutions.

What We're Looking For:

- Experience with Python programming.
- Knowledge of web development fundamentals.
- Problem-solving skills and eagerness to learn.
- Ability to work effectively in a remote team environment.
- Basic understanding of databases and data structures.
- Good communication skills in English.

Nice to have:

- Familiarity with data visualization libraries or tools.
- Experience with cloud services.
- Basic knowledge of containerization concepts.
- Interest in continuous learning and skill development.

How we do make your work (and your life) easier:

- 100% remote work (from anywhere).
- Excellent compensation in USD or your local currency if preferred
- Hardware and software setup for you to work from home.
- Flexible hours: create your own schedule.
- Paid parental leaves, vacations, and national holidays.
- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.
- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.

Apply now and become part of a global team where your unique talents can truly thrive!",BairesDev,https://www.linkedin.com/company/bairesdev/life,https://www.linkedin.com/jobs/view/4252710111/?eBP=CwEAAAGXmX7RSVrXk94oEz_b8bh2J6Y4dm64_vN5eq_ii9NdwP1FhtFcuBNCXrQ3DK_E21b1yAABhXTaRgMrJ_O5F19WcnjMDdghn-lVLAtQa7lU1LBycJO49vRfMY7EZyrfhcXfFK12zhiYcdCTvHC6T9JgL1rUV2rc-xjVo59FYlh0oQhWmyLLOm2oEILuDR_xdxXLzrcHl-nttkQKrIt6aqZbf-ISVxQh1lRCYC4BoLYUAoHEOml50y7qDgYKUQcqDzNgAcwADzt60W2r6-PgsG9hotnaeCNUSnUxlz0obgjxA1odmdoyPg-5dKhHVMmgKI9p8jpXmmL917qS3DeFiLt1XqDiuURHW1WOdPQ3-D-7TeQDeUgCN7uvvXxwM8gtxtAcIIWI_zMQu11c7xkmygjTKW9cPhPCgl47_rcrjfcgi1x8AyX41nrz7BaxYpPwfvhLEkUFCMs&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=Kc0AVpNq7acZeEnGuhLetA%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
"Software Engineer, University Graduate, 2026","About the job
Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Bengaluru, Karnataka, India; Gurugram, Haryana, India; Hyderabad, Telangana, India; Mumbai, Maharashtra, India; Pune, Maharashtra, India.Minimum qualifications:

Bachelor's degree or equivalent practical experience.
Experience working with Unix/Linux environments, distributed systems, machine learning, information retrieval, and TCP/IP.
Experience programming in C, C++, Java, or Python.

Preferred qualifications:

Bachelor's degree or advanced degree in Computer Science or Computer Engineering, or a related field.

About The Job

Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.

Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.

Responsibilities

Research, conceive, and develop software applications to extend and improve on Google's product offering.
Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning, and search technologies.
Collaborate on scalability issues involving access to data and information.
Solve challenges/problems that you are presented with.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .",Google,https://www.linkedin.com/company/google/life,https://www.linkedin.com/jobs/view/4229287592/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=ORXl9WH153kY5zipOlfbFg%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
App Dev Engineer I,"About the job
About NCR VOYIX

NCR VOYIX Corporation (NYSE: VYX) is a leading global provider of digital commerce solutions for the retail, restaurant and banking industries. NCR VOYIX is headquartered in Atlanta, Georgia, with approximately 16,000 employees in 35 countries across the globe. For nearly 140 years, we have been the global leader in consumer transaction technologies, turning everyday consumer interactions into meaningful moments. Today, NCR VOYIX transforms the stores, restaurants and digital banking experiences with cloud-based, platform-led SaaS and services capabilities.

Not only are we the leader in the market segments we serve and the technology we deliver, but we create exceptional consumer experiences in partnership with the world’s leading retailers, restaurants and financial institutions. We leverage our expertise, R&D capabilities and unique platform to help navigate, simplify and run our customers’ technology systems.

Our customers are at the center of everything we do. Our mission is to enable stores, restaurants and financial institutions to exceed their goals – from customer satisfaction to revenue growth, to operational excellence, to reduced costs and profit growth. Our solutions empower our customers to succeed in today’s competitive landscape.

Our unique perspective brings innovative, industry-leading tech to all the moving parts of business across industries. NCR VOYIX has earned the trust of businesses large and small — from the best-known brands around the world to your local favorite around the corner.

At this position, it is expected that you will be doing various development tasks getting assigned to you.
Develop domain-specific solutions and give demos to various stakeholders.
Building POCs that are tailored to solve various pain-points.
Develop reports, interfaces, conversions etc. based on the business requirements.
Participate in meetings with business teams and/or business analysts and other stakeholders to understand business requirements or issues.
Write technical specifications and work closely with technical and functional teams to design and support the solutions and overall system.
Along with working on ERP Fusion & ERP EBS, it will be required to support legacy financial applications as well.
Write technical specifications and work closely with technical and functional teams to design and support the solutions and overall system.
Work with business team, development team and support team for ensuring smooth month-end/quarter-end/year-end closings.

Offers of employment are conditional upon passage of screening criteria applicable to the job

EEO Statement

Integrated into our shared values is NCR Voyix’s commitment to diversity and equal employment opportunity. All qualified applicants will receive consideration for employment without regard to sex, age, race, color, creed, religion, national origin, disability, sexual orientation, gender identity, veteran status, military service, genetic information, or any other characteristic or conduct protected by law. NCR Voyix is committed to being a globally inclusive company where all people are treated fairly, recognized for their individuality, promoted based on performance and encouraged to strive to reach their full potential. We believe in understanding and respecting differences among all people. Every individual at NCR Voyix has an ongoing responsibility to respect and support a globally diverse environment.

Statement to Third Party Agencies

To ALL recruitment agencies: NCR Voyix only accepts resumes from agencies on the preferred supplier list. Please do not forward resumes to our applicant tracking system, NCR Voyix employees, or any NCR Voyix facility. NCR Voyix is not responsible for any fees or charges associated with unsolicited resumes

“When applying for a job, please make sure to only open emails that you will receive during your application process that come from a @ncrvoyix.com email domain.”",NCR Voyix,https://www.linkedin.com/company/ncrvoyix/life,https://www.linkedin.com/jobs/view/4247441427/?eBP=CwEAAAGXmX7RSfhN6o22HvY3MZYlNeM42W-jAYyqmwCQ3G4t3n1dqDWOFSHh2le-OW8M6SacUvnwdQ1aZMW323GLHTUL2_AsG5XXUfSDlD44j6KZXtEMOH3zoIaJB6wF2Jk07Ny_2G3OHeQJEZ3CkcsAJk4kXiQIj3z3nTufc8dtMfPwanC1UBvmOd08n-jTooLwos0ZQSsoUoSc-GzcLTryYNsOxG_fcsSDfo_zOfHXhQ-1EYnnGqm-L9k1gaLTocSUe4bIyByaxTPapcRmS4t-lw89qbFTp1DDdXG6Z6qpKi1qfLhy4aVHeqIxCVv8OLC5LQhG5RkWkrGFf10fCN3383mwP89B7NXlnKR0NPMbLK58_V__4fT8gfyTnzgZli5VGoa4tbCsulVqkMCxoloyXuJJzUMigfRTRFk9fQs7CVOTKTL1lQ8b5gfX0VK_gaU0vaTyleV5ipo468EvRJhM5xiGCivifyn0q3avMtJ-o5clXxk7040gSL6G&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=LhT%2BwKtIA52Cw5UFsorEgw%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
Python Developer,"About the job
Primary skills:Technology->Machine Learning->Python

A day in the life of an Infoscion

 As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction.
 You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain.
 You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews.
 You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes.
 You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!",Infosys,https://www.linkedin.com/company/infosys/life,https://www.linkedin.com/jobs/view/4254463110/?eBP=BUDGET_EXHAUSTED_JOB&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=WhHGdy7SWdiyc%2FlmFQmHhg%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
Software Engineer - MSc (Freelancer),"About the job
About Soul AI:
Soul AI is a pioneering company founded by IIT Bombay and IIM Ahmedabad alumni, with a strong founding team from IITs, NITs, and BITS. We specialize in delivering high-quality human-curated data, AI-first scaled operations services, and more. Based in SF and Hyderabad, we are a young, fast-moving team on a mission to build AI for Good, driving innovation and positive societal impact.

Who you are & how you can contribute?
We are looking for highly skilled Software Engineers (freelancers) to contribute to AI training through data annotation and domain-specific expertise. This is a remote, flexible opportunity where you can work on cutting-edge AI projects, applying your domain knowledge to refine AI’s understanding and performance.

Key Responsibilities:
Develop and validate AI-driven software models.
Annotate and evaluate code quality and software structures.
Provide insights into algorithms and data structures.

Must Required Traits:
Strong academic background in Computer Science (MSc preferred).
Teaching, tutoring, or content creation experience in the field is a plus.
Familiarity with AI, machine learning, or data annotation is beneficial.
Strong analytical skills and attention to detail.

Why join us?
Competitive hourly pay: upto ₹1500 per hour.
Fully remote and flexible work schedule.
Opportunity to contribute to the advancement of AI technology.

NOTE: Pay will vary by project and typically is up to ₹1500 per hour. If you work an average of 3 hours every day, you could earn up to ₹90,000 per month once you clear our screening process.

Join us to play a vital role in shaping the future of AI through high-quality training and data solutions!",Soul AI,https://www.linkedin.com/company/soul-ai/life,https://www.linkedin.com/jobs/view/4240634743/?eBP=CwEAAAGXmX7RSeP4MdqabrFACmaF3-McagrXYoGBt4VjIiriq_s4BHDNNpZn3avYKte0WliZW4Vp266argwE3TlS_i8ecVrsE46-EMD_ng9NWT5TCSIn0JqWS3hy0xKOPhBzo7Ktc6TriGvU2uq7QUSTHo0yWcTZKw_W0C9I-oJXftYt-5Vf8K4oXWm_WEyfSZu7qtinC8Hd1vMFXFM6pcKtLvVK4ARhxa2wnJHav27ywzkDyE693NfP9Iia-xrisGv4iuH5EUA5lTm663f5fCdsWv213KkHmOtpN4MvQomaeLyfXsAa7u-SCjgZc-6Y9ZDQFB47i0nJTpR6iHseN4OaHGDh6SGzPiwIlHzr_psc4OMaZwqnCOtl-5g80b6Z7HHUEApJc_nhhEzHBWJ0mTSXw_Aj9SSrajFLbUerj8uYDBgCb1UeUN2NdueBPifJO-57gjsJUnx8TcL0Q8_uTpJntF44u3Oe785lfDUMKv7LDMSeTLuCNOAc58OS&refId=6faKFp4hmqsPO8%2BTRrTjLg%3D%3D&trackingId=fKstoT4FF3n21nAbaErqyg%3D%3D&trk=flagship3_jobs_discovery_jymbii,No
